id,text,skills,categories,source,anchor_skill,anchor_category
sample-00308,"Our team needs a Data Engineer to scale critical business workflows. You must have experience with Angular, Snowflake, and Integration Testing. You must have experience with Integration Testing and mongo. You will design pipelines, support delivery teams, and improve model reliability. Preferred experience includes dotnet and google cloud.",.NET|Angular|GCP|Integration Testing|MongoDB|Snowflake,Cloud/DevOps|Database|Framework/Library|Testing/Quality,synthetic,Angular,Framework/Library
sample-01735,"The Product Engineer will help modernize our platform and delivery process. Strong experience with stakeholder management and springboot is expected. Strong experience with springboot and rust is expected. You will design pipelines, support delivery teams, and improve model reliability. Preferred experience includes neural networks and mentor.",Deep Learning|Mentoring|Rust|Spring Boot|Stakeholder Management,Data/AI|Framework/Library|Programming Language|Soft Skill,synthetic,Stakeholder Management,Soft Skill
sample-00750,"This DevOps Engineer position focuses on building high-impact data products. Required skills include GitHub Actions and mentoring. You must have experience with mentoring and google cloud. You will design pipelines, support delivery teams, and improve model reliability. Bonus points if you have worked with prioritization and react.js.",GCP|GitHub Actions|Mentoring|React|Time Management,Cloud/DevOps|Framework/Library|Soft Skill,synthetic,GitHub Actions,Cloud/DevOps
sample-01308,"Our team needs a Solutions Architect to scale critical business workflows. The role needs hands-on knowledge of Microservices and docker. The role needs hands-on knowledge of docker and PyTorch. You will work on automation, monitoring, and measurable business outcomes. Nice to have: Python.",Docker|Microservices|PyTorch|Python,Architecture|Cloud/DevOps|Framework/Library|Programming Language,synthetic,Microservices,Architecture
sample-00023,"The DevOps Engineer will help modernize our platform and delivery process. The role needs hands-on knowledge of Python and Ansible. The role needs hands-on knowledge of Ansible and Docker. You will design pipelines, support delivery teams, and improve model reliability. Preferred experience includes py test and ETL.",Ansible|Docker|ETL|PyTest|Python,Cloud/DevOps|Data/AI|Programming Language|Testing/Quality,synthetic,Python,Programming Language
sample-00150,"The AI Engineer will help modernize our platform and delivery process. The role needs hands-on knowledge of go, data analysis, bigquery, and Computer Vision. Required skills include bigquery, Computer Vision, and selenium. You will work on automation, monitoring, and measurable business outcomes. Nice to have: k8s.",BigQuery|Computer Vision|Data Analysis|Go|Kubernetes|Selenium,Cloud/DevOps|Data/AI|Database|Programming Language|Testing/Quality,synthetic,Go,Programming Language
sample-00297,"The Product Engineer will help modernize our platform and delivery process. Strong experience with Angular and Problem Solving is expected. Required skills include Problem Solving and Time Management. You will partner with product, engineering, and analytics teams on production use cases. Preferred experience includes dotnet and neural networks.",.NET|Angular|Deep Learning|Problem Solving|Time Management,Data/AI|Framework/Library|Soft Skill,synthetic,Angular,Framework/Library
sample-00370,"Our team needs a Full Stack Engineer to scale critical business workflows. You must have experience with express, c#, and elt. The role needs hands-on knowledge of elt and AWS. You will work on automation, monitoring, and measurable business outcomes. Preferred experience includes r language and ansible.",AWS|Ansible|C#|ETL|Express.js|R,Cloud/DevOps|Data/AI|Framework/Library|Programming Language,synthetic,Express.js,Framework/Library
sample-00703,"We are hiring a DevOps Engineer to build reliable production systems. The role needs hands-on knowledge of Ansible and C#. Strong experience with C# and mongodb is expected. You will design pipelines, support delivery teams, and improve model reliability. Bonus points if you have worked with docker and scrum.",Ansible|C#|Docker|MongoDB|Scrum,Cloud/DevOps|Database|Process|Programming Language,synthetic,Ansible,Cloud/DevOps
sample-00649,The Platform Engineer will help modernize our platform and delivery process. Required skills include k8s and rust. Strong experience with rust and ts is expected. You will translate business requirements into deployable technical solutions. Bonus points if you have worked with Terraform.,Kubernetes|Rust|Terraform|TypeScript,Cloud/DevOps|Programming Language,synthetic,Kubernetes,Cloud/DevOps
sample-00329,"We are hiring a Full Stack Engineer to build reliable production systems. Strong experience with vue.js, amazon web services, and test driven development is expected. Required skills include test driven development and Data Engineering. You will translate business requirements into deployable technical solutions. Preferred experience includes machine learning and Computer Vision.",AWS|Computer Vision|Data Engineering|Machine Learning|TDD|Vue.js,Cloud/DevOps|Data/AI|Framework/Library|Testing/Quality,synthetic,Vue.js,Framework/Library
sample-01480,This QA Engineer position focuses on building high-impact data products. Required skills include PyTest and Ansible. The role needs hands-on knowledge of Ansible and fast api. You will translate business requirements into deployable technical solutions. Preferred experience includes Time Management.,Ansible|FastAPI|PyTest|Time Management,Cloud/DevOps|Framework/Library|Soft Skill|Testing/Quality,synthetic,PyTest,Testing/Quality
sample-00315,"Our team needs a Full Stack Engineer to scale critical business workflows. Strong experience with vue, django, flask, and Docker is expected. Strong experience with flask, Docker, and python is expected. You will translate business requirements into deployable technical solutions. Preferred experience includes Redis.",Django|Docker|Flask|Python|Redis|Vue.js,Cloud/DevOps|Database|Framework/Library|Programming Language,synthetic,Vue.js,Framework/Library
sample-00223,"The Full Stack Engineer will help modernize our platform and delivery process. Strong experience with r language, tensorflow, node, and micro services is expected. Required skills include node, micro services, and JUnit. You will translate business requirements into deployable technical solutions. Preferred experience includes Cypress.",Cypress|JUnit|Microservices|Node.js|R|TensorFlow,Architecture|Framework/Library|Programming Language|Testing/Quality,synthetic,R,Programming Language
sample-00169,"This Backend Engineer position focuses on building high-impact data products. Required skills include rust and Bash. You must have experience with Bash and Redis. You will partner with product, engineering, and analytics teams on production use cases. Bonus points if you have worked with scrum and System Design.",Bash|Redis|Rust|Scrum|System Design,Architecture|Database|Process|Programming Language|Tooling,synthetic,Rust,Programming Language
sample-01086,"The Machine Learning Engineer will help modernize our platform and delivery process. The role needs hands-on knowledge of data analytics and flask. Required skills include flask and R. You will partner with product, engineering, and analytics teams on production use cases. Preferred experience includes junit and hadoop.",Data Analysis|Flask|Hadoop|JUnit|R,Data/AI|Framework/Library|Programming Language|Testing/Quality,synthetic,Data Analysis,Data/AI
sample-00726,"The Data Engineer will help modernize our platform and delivery process. You must have experience with Jenkins, snowflake, elastic search, and machine learning. Strong experience with elastic search, machine learning, and tdd is expected. You will partner with product, engineering, and analytics teams on production use cases. Preferred experience includes Linux and typescript.",Elasticsearch|Jenkins|Linux|Machine Learning|Snowflake|TDD|TypeScript,Cloud/DevOps|Data/AI|Database|Programming Language|Testing/Quality|Tooling,synthetic,Jenkins,Cloud/DevOps
sample-00210,"Our team needs a Platform Engineer to scale critical business workflows. You must have experience with ansi sql, cpp, and mentoring. The role needs hands-on knowledge of mentoring and google cloud. You will design pipelines, support delivery teams, and improve model reliability. Preferred experience includes data engineer and github actions.",C++|Data Engineering|GCP|GitHub Actions|Mentoring|SQL,Cloud/DevOps|Data/AI|Programming Language|Soft Skill,synthetic,SQL,Programming Language
sample-01452,"We are hiring a Full Stack Engineer to build reliable production systems. You must have experience with Cypress, flask, and ts. You must have experience with ts and angular. You will partner with product, engineering, and analytics teams on production use cases. Preferred experience includes golang and Scala.",Angular|Cypress|Flask|Go|Scala|TypeScript,Framework/Library|Programming Language|Testing/Quality,synthetic,Cypress,Testing/Quality
sample-00479,"The Application Engineer will help modernize our platform and delivery process. Required skills include Spring Boot and node. Required skills include node and computer vision. You will partner with product, engineering, and analytics teams on production use cases. Nice to have: Terraform and ml.",Computer Vision|Machine Learning|Node.js|Spring Boot|Terraform,Cloud/DevOps|Data/AI|Framework/Library,synthetic,Spring Boot,Framework/Library
sample-00934,"Our team needs a Database Engineer to scale critical business workflows. Required skills include elasticsearch, integration testing, and Flask. The role needs hands-on knowledge of Flask and js. You will work on automation, monitoring, and measurable business outcomes. Bonus points if you have worked with gitlab ci/cd.",Elasticsearch|Flask|GitLab CI/CD|Integration Testing|JavaScript,Cloud/DevOps|Database|Framework/Library|Programming Language|Testing/Quality,synthetic,Elasticsearch,Database
sample-00137,"The Platform Engineer will help modernize our platform and delivery process. Strong experience with c#, spark, and REST APIs is expected. Strong experience with REST APIs and Selenium is expected. You will translate business requirements into deployable technical solutions. Nice to have: GitLab CI/CD.",C#|GitLab CI/CD|REST APIs|Selenium|Spark,Architecture|Cloud/DevOps|Data/AI|Programming Language|Testing/Quality,synthetic,C#,Programming Language
sample-00480,"Our team needs a Application Engineer to scale critical business workflows. The role needs hands-on knowledge of springboot and team lead. You must have experience with team lead and Hadoop. You will work on automation, monitoring, and measurable business outcomes. Nice to have: Spark.",Hadoop|Leadership|Spark|Spring Boot,Data/AI|Framework/Library|Soft Skill,synthetic,Spring Boot,Framework/Library
sample-00290,"The Full Stack Engineer will help modernize our platform and delivery process. The role needs hands-on knowledge of angular and Java. Required skills include Java and kubernetes. You will work on automation, monitoring, and measurable business outcomes. Bonus points if you have worked with shell scripting.",Angular|Bash|Java|Kubernetes,Cloud/DevOps|Framework/Library|Programming Language|Tooling,synthetic,Angular,Framework/Library
sample-00688,"Our team needs a Infrastructure Engineer to scale critical business workflows. Strong experience with Terraform and NLP is expected. Strong experience with NLP and fastapi is expected. You will partner with product, engineering, and analytics teams on production use cases. Nice to have: Scala and Angular.",Angular|FastAPI|NLP|Scala|Terraform,Cloud/DevOps|Data/AI|Framework/Library|Programming Language,synthetic,Terraform,Cloud/DevOps
sample-00901,"This Analytics Engineer position focuses on building high-impact data products. Required skills include Redis, machine learning, and rust. The role needs hands-on knowledge of rust and Unit Testing. You will partner with product, engineering, and analytics teams on production use cases. Preferred experience includes microservices.",Machine Learning|Microservices|Redis|Rust|Unit Testing,Architecture|Data/AI|Database|Programming Language|Testing/Quality,synthetic,Redis,Database
sample-01539,"We are hiring a DevOps Engineer to build reliable production systems. Required skills include linux, Go, Ansible, and continuous delivery. You must have experience with Ansible, continuous delivery, and terraform. You will partner with product, engineering, and analytics teams on production use cases. Bonus points if you have worked with Cypress.",Ansible|CI/CD|Cypress|Go|Linux|Terraform,Cloud/DevOps|Programming Language|Testing/Quality|Tooling,synthetic,Linux,Tooling
sample-00453,"Our team needs a ML Engineer to scale critical business workflows. The role needs hands-on knowledge of fast api, Time Management, and TDD. Required skills include TDD and computer vision. You will translate business requirements into deployable technical solutions. Preferred experience includes tableau and gitlab.",Computer Vision|FastAPI|Git|TDD|Tableau|Time Management,Data/AI|Framework/Library|Soft Skill|Testing/Quality|Tooling,synthetic,FastAPI,Framework/Library
sample-00711,"This Application Engineer position focuses on building high-impact data products. The role needs hands-on knowledge of Ansible, go, React, and big query. Required skills include React, big query, and FastAPI. You will partner with product, engineering, and analytics teams on production use cases. Nice to have: Hadoop and git.",Ansible|BigQuery|FastAPI|Git|Go|Hadoop|React,Cloud/DevOps|Data/AI|Database|Framework/Library|Programming Language|Tooling,synthetic,Ansible,Cloud/DevOps
sample-00197,The Software Engineer will help modernize our platform and delivery process. The role needs hands-on knowledge of ansi sql and powerbi. You must have experience with powerbi and pytest. You will translate business requirements into deployable technical solutions. Nice to have: Bash and postgresql.,Bash|PostgreSQL|Power BI|PyTest|SQL,Data/AI|Database|Programming Language|Testing/Quality|Tooling,synthetic,SQL,Programming Language
sample-00796,"The DevOps Engineer will help modernize our platform and delivery process. Required skills include continuous delivery, tdd, and GCP. The role needs hands-on knowledge of GCP and elasticsearch. You will translate business requirements into deployable technical solutions. Bonus points if you have worked with Integration Testing.",CI/CD|Elasticsearch|GCP|Integration Testing|TDD,Cloud/DevOps|Database|Testing/Quality,synthetic,CI/CD,Cloud/DevOps
sample-01736,We are hiring a Team Lead to build reliable production systems. Required skills include stakeholders and micro services. The role needs hands-on knowledge of micro services and TypeScript. You will translate business requirements into deployable technical solutions. Bonus points if you have worked with Agile.,Agile|Microservices|Stakeholder Management|TypeScript,Architecture|Process|Programming Language|Soft Skill,synthetic,Stakeholder Management,Soft Skill
sample-01482,Our team needs a Software Development Engineer in Test to scale critical business workflows. You must have experience with PyTest and github actions. Required skills include github actions and computer vision. You will translate business requirements into deployable technical solutions. Preferred experience includes TypeScript.,Computer Vision|GitHub Actions|PyTest|TypeScript,Cloud/DevOps|Data/AI|Programming Language|Testing/Quality,synthetic,PyTest,Testing/Quality
sample-01082,"This Machine Learning Engineer position focuses on building high-impact data products. Strong experience with data analytics and terraform is expected. Required skills include terraform and MongoDB. You will design pipelines, support delivery teams, and improve model reliability. Preferred experience includes python.",Data Analysis|MongoDB|Python|Terraform,Cloud/DevOps|Data/AI|Database|Programming Language,synthetic,Data Analysis,Data/AI
sample-00693,"Our team needs a Cloud Engineer to scale critical business workflows. The role needs hands-on knowledge of Terraform, google cloud platform, Angular, and Leadership. Required skills include Angular, Leadership, and selenium. You will partner with product, engineering, and analytics teams on production use cases. Preferred experience includes data analytics.",Angular|Data Analysis|GCP|Leadership|Selenium|Terraform,Cloud/DevOps|Data/AI|Framework/Library|Soft Skill|Testing/Quality,synthetic,Terraform,Cloud/DevOps
sample-00241,"We are hiring a Software Engineer to build reliable production systems. The role needs hands-on knowledge of Scala, ml, and js. The role needs hands-on knowledge of js and Tableau. You will design pipelines, support delivery teams, and improve model reliability. Preferred experience includes Flask and stakeholder management.",Flask|JavaScript|Machine Learning|Scala|Stakeholder Management|Tableau,Data/AI|Framework/Library|Programming Language|Soft Skill,synthetic,Scala,Programming Language
sample-01433,"Our team needs a Application Engineer to scale critical business workflows. Strong experience with selenium, .NET, and ansible is expected. Strong experience with ansible and torch is expected. You will design pipelines, support delivery teams, and improve model reliability. Preferred experience includes ml and react.",.NET|Ansible|Machine Learning|PyTorch|React|Selenium,Cloud/DevOps|Data/AI|Framework/Library|Testing/Quality,synthetic,Selenium,Testing/Quality
sample-00225,"Our team needs a Platform Engineer to scale critical business workflows. The role needs hands-on knowledge of r, .net, and Stakeholder Management. The role needs hands-on knowledge of Stakeholder Management and Go. You will design pipelines, support delivery teams, and improve model reliability. Bonus points if you have worked with java and aws.",.NET|AWS|Go|Java|R|Stakeholder Management,Cloud/DevOps|Framework/Library|Programming Language|Soft Skill,synthetic,R,Programming Language
sample-01734,"We are hiring a Product Engineer to build reliable production systems. Strong experience with stakeholder management and Flask is expected. Strong experience with Flask and r is expected. You will design pipelines, support delivery teams, and improve model reliability. Preferred experience includes Problem Solving and Spark.",Flask|Problem Solving|R|Spark|Stakeholder Management,Data/AI|Framework/Library|Programming Language|Soft Skill,synthetic,Stakeholder Management,Soft Skill
sample-00034,"We are hiring a Backend Engineer to build reliable production systems. Required skills include Java, Hadoop, and mongodb. You must have experience with mongodb and Microservices. You will partner with product, engineering, and analytics teams on production use cases. Nice to have: CI/CD and react.js.",CI/CD|Hadoop|Java|Microservices|MongoDB|React,Architecture|Cloud/DevOps|Data/AI|Database|Framework/Library|Programming Language,synthetic,Java,Programming Language
sample-01013,"We are hiring a Data Scientist to build reliable production systems. Strong experience with neural networks, Docker, and collaboration is expected. You must have experience with collaboration and cypress. You will partner with product, engineering, and analytics teams on production use cases. Preferred experience includes data engineer.",Collaboration|Cypress|Data Engineering|Deep Learning|Docker,Cloud/DevOps|Data/AI|Soft Skill|Testing/Quality,synthetic,Deep Learning,Data/AI
sample-01647,"Our team needs a Product Engineer to scale critical business workflows. You must have experience with Communication, MySQL, and integration testing. The role needs hands-on knowledge of integration testing and Scala. You will work on automation, monitoring, and measurable business outcomes. Nice to have: java and terraform.",Communication|Integration Testing|Java|MySQL|Scala|Terraform,Cloud/DevOps|Database|Programming Language|Soft Skill|Testing/Quality,synthetic,Communication,Soft Skill
sample-00057,"This Infrastructure Engineer position focuses on building high-impact data products. Strong experience with js, Time Management, azure, and torch is expected. The role needs hands-on knowledge of azure, torch, and AWS. You will design pipelines, support delivery teams, and improve model reliability. Preferred experience includes React and restful api.",AWS|Azure|JavaScript|PyTorch|REST APIs|React|Time Management,Architecture|Cloud/DevOps|Framework/Library|Programming Language|Soft Skill,synthetic,JavaScript,Programming Language
sample-01454,"This Quality Engineer position focuses on building high-impact data products. You must have experience with cypress, elasticsearch, Unit Testing, and microservices. Strong experience with Unit Testing, microservices, and Python is expected. You will translate business requirements into deployable technical solutions. Bonus points if you have worked with amazon web services and PostgreSQL.",AWS|Cypress|Elasticsearch|Microservices|PostgreSQL|Python|Unit Testing,Architecture|Cloud/DevOps|Database|Programming Language|Testing/Quality,synthetic,Cypress,Testing/Quality
sample-01707,"We are hiring a Team Lead to build reliable production systems. Strong experience with collaboration, Cypress, Mentoring, and Tableau is expected. Required skills include Mentoring, Tableau, and Snowflake. You will design pipelines, support delivery teams, and improve model reliability. Preferred experience includes elastic search.",Collaboration|Cypress|Elasticsearch|Mentoring|Snowflake|Tableau,Data/AI|Database|Soft Skill|Testing/Quality,synthetic,Collaboration,Soft Skill
sample-00574,This DevOps Engineer position focuses on building high-impact data products. You must have experience with AWS and JavaScript. The role needs hands-on knowledge of JavaScript and ETL. You will translate business requirements into deployable technical solutions. Nice to have: mentoring.,AWS|ETL|JavaScript|Mentoring,Cloud/DevOps|Data/AI|Programming Language|Soft Skill,synthetic,AWS,Cloud/DevOps
sample-01090,We are hiring a Machine Learning Engineer to build reliable production systems. Required skills include Data Analysis and tf. Required skills include tf and Kubernetes. You will translate business requirements into deployable technical solutions. Bonus points if you have worked with flask and redis.,Data Analysis|Flask|Kubernetes|Redis|TensorFlow,Cloud/DevOps|Data/AI|Database|Framework/Library,synthetic,Data Analysis,Data/AI
sample-01133,"Our team needs a Analytics Engineer to scale critical business workflows. Required skills include elt and bigquery. Required skills include bigquery and Snowflake. You will design pipelines, support delivery teams, and improve model reliability. Bonus points if you have worked with k8s and rust.",BigQuery|ETL|Kubernetes|Rust|Snowflake,Cloud/DevOps|Data/AI|Database|Programming Language,synthetic,ETL,Data/AI
sample-01124,"This Machine Learning Engineer position focuses on building high-impact data products. The role needs hands-on knowledge of data engineering, power bi, and Spring Boot. Required skills include Spring Boot and scala. You will translate business requirements into deployable technical solutions. Preferred experience includes lead teams.",Data Engineering|Leadership|Power BI|Scala|Spring Boot,Data/AI|Framework/Library|Programming Language|Soft Skill,synthetic,Data Engineering,Data/AI
sample-00654,"We are hiring a Infrastructure Engineer to build reliable production systems. Required skills include Kubernetes, BigQuery, Collaboration, and docker. Strong experience with Collaboration, docker, and express.js is expected. You will design pipelines, support delivery teams, and improve model reliability. Preferred experience includes power bi.",BigQuery|Collaboration|Docker|Express.js|Kubernetes|Power BI,Cloud/DevOps|Data/AI|Database|Framework/Library|Soft Skill,synthetic,Kubernetes,Cloud/DevOps
sample-00846,"Our team needs a Infrastructure Engineer to scale critical business workflows. The role needs hands-on knowledge of MySQL, Docker, amazon web services, and node.js. The role needs hands-on knowledge of amazon web services, node.js, and csharp. You will translate business requirements into deployable technical solutions. Nice to have: micro services and express.js.",AWS|C#|Docker|Express.js|Microservices|MySQL|Node.js,Architecture|Cloud/DevOps|Database|Framework/Library|Programming Language,synthetic,MySQL,Database
sample-00994,"This AI Engineer position focuses on building high-impact data products. You must have experience with machine learning, Scala, mongo, and data analytics. You must have experience with mongo, data analytics, and tdd. You will translate business requirements into deployable technical solutions. Preferred experience includes Mentoring.",Data Analysis|Machine Learning|Mentoring|MongoDB|Scala|TDD,Data/AI|Database|Programming Language|Soft Skill|Testing/Quality,synthetic,Machine Learning,Data/AI
sample-00507,"Our team needs a AI Engineer to scale critical business workflows. You must have experience with TensorFlow, Hadoop, scrum, and Deep Learning. You must have experience with scrum, Deep Learning, and Azure. You will design pipelines, support delivery teams, and improve model reliability. Nice to have: Cypress.",Azure|Cypress|Deep Learning|Hadoop|Scrum|TensorFlow,Cloud/DevOps|Data/AI|Framework/Library|Process|Testing/Quality,synthetic,TensorFlow,Framework/Library
sample-00582,"We are hiring a Infrastructure Engineer to build reliable production systems. You must have experience with Azure, bash, Spring Boot, and TypeScript. You must have experience with Spring Boot, TypeScript, and hadoop. You will partner with product, engineering, and analytics teams on production use cases. Bonus points if you have worked with Agile.",Agile|Azure|Bash|Hadoop|Spring Boot|TypeScript,Cloud/DevOps|Data/AI|Framework/Library|Process|Programming Language|Tooling,synthetic,Azure,Cloud/DevOps
sample-01081,"We are hiring a Machine Learning Engineer to build reliable production systems. Required skills include data analysis, integration tests, and r. Strong experience with r and deep learning is expected. You will work on automation, monitoring, and measurable business outcomes. Preferred experience includes javascript and C#.",C#|Data Analysis|Deep Learning|Integration Testing|JavaScript|R,Data/AI|Programming Language|Testing/Quality,synthetic,Data Analysis,Data/AI
sample-00275,"We are hiring a ML Engineer to build reliable production systems. Strong experience with React and Collaboration is expected. The role needs hands-on knowledge of Collaboration and go language. You will partner with product, engineering, and analytics teams on production use cases. Nice to have: ts and rest api.",Collaboration|Go|REST APIs|React|TypeScript,Architecture|Framework/Library|Programming Language|Soft Skill,synthetic,React,Framework/Library
sample-00387,"This Application Engineer position focuses on building high-impact data products. You must have experience with django and JavaScript. The role needs hands-on knowledge of JavaScript and junit. You will design pipelines, support delivery teams, and improve model reliability. Bonus points if you have worked with data engineer.",Data Engineering|Django|JUnit|JavaScript,Data/AI|Framework/Library|Programming Language|Testing/Quality,synthetic,Django,Framework/Library
sample-01263,"Our team needs a Solutions Architect to scale critical business workflows. The role needs hands-on knowledge of rest apis, Terraform, and Computer Vision. Required skills include Computer Vision and Selenium. You will design pipelines, support delivery teams, and improve model reliability. Bonus points if you have worked with js.",Computer Vision|JavaScript|REST APIs|Selenium|Terraform,Architecture|Cloud/DevOps|Data/AI|Programming Language|Testing/Quality,synthetic,REST APIs,Architecture
sample-00142,"The Software Engineer will help modernize our platform and delivery process. Required skills include C# and Integration Testing. Required skills include Integration Testing and etl. You will design pipelines, support delivery teams, and improve model reliability. Preferred experience includes mysql and node.js.",C#|ETL|Integration Testing|MySQL|Node.js,Data/AI|Database|Framework/Library|Programming Language|Testing/Quality,synthetic,C#,Programming Language
sample-01762,The Team Lead will help modernize our platform and delivery process. The role needs hands-on knowledge of Time Management and Computer Vision. The role needs hands-on knowledge of Computer Vision and JUnit. You will translate business requirements into deployable technical solutions. Nice to have: Power BI.,Computer Vision|JUnit|Power BI|Time Management,Data/AI|Soft Skill|Testing/Quality,synthetic,Time Management,Soft Skill
sample-00445,"Our team needs a Application Engineer to scale critical business workflows. The role needs hands-on knowledge of fast api, Data Analysis, java, and mongo. Required skills include java, mongo, and communication. You will design pipelines, support delivery teams, and improve model reliability. Bonus points if you have worked with dotnet and system design.",.NET|Communication|Data Analysis|FastAPI|Java|MongoDB|System Design,Architecture|Data/AI|Database|Framework/Library|Programming Language|Soft Skill,synthetic,FastAPI,Framework/Library
sample-01327,"This Application Engineer position focuses on building high-impact data products. You must have experience with System Design, FastAPI, and terraform. You must have experience with terraform and node. You will design pipelines, support delivery teams, and improve model reliability. Preferred experience includes Ansible and kubernetes.",Ansible|FastAPI|Kubernetes|Node.js|System Design|Terraform,Architecture|Cloud/DevOps|Framework/Library,synthetic,System Design,Architecture
sample-01307,"We are hiring a Backend Architect to build reliable production systems. You must have experience with microservices, Time Management, tf, and C#. You must have experience with tf, C#, and aws. You will partner with product, engineering, and analytics teams on production use cases. Preferred experience includes scala.",AWS|C#|Microservices|Scala|TensorFlow|Time Management,Architecture|Cloud/DevOps|Framework/Library|Programming Language|Soft Skill,synthetic,Microservices,Architecture
sample-00502,We are hiring a Full Stack Engineer to build reliable production systems. Strong experience with .NET and vue is expected. You must have experience with vue and data engineer. You will translate business requirements into deployable technical solutions. Nice to have: nlp.,.NET|Data Engineering|NLP|Vue.js,Data/AI|Framework/Library,synthetic,.NET,Framework/Library
sample-00300,"Our team needs a Data Scientist to scale critical business workflows. You must have experience with angular, google cloud platform, and neural networks. The role needs hands-on knowledge of neural networks and Data Analysis. You will partner with product, engineering, and analytics teams on production use cases. Bonus points if you have worked with typescript and Machine Learning.",Angular|Data Analysis|Deep Learning|GCP|Machine Learning|TypeScript,Cloud/DevOps|Data/AI|Framework/Library|Programming Language,synthetic,Angular,Framework/Library
sample-00517,"This Full Stack Engineer position focuses on building high-impact data products. Strong experience with TensorFlow, Bash, and node.js is expected. Strong experience with node.js and TDD is expected. You will design pipelines, support delivery teams, and improve model reliability. Bonus points if you have worked with Ansible.",Ansible|Bash|Node.js|TDD|TensorFlow,Cloud/DevOps|Framework/Library|Testing/Quality|Tooling,synthetic,TensorFlow,Framework/Library
